3	11.9	1.4	2.3	1.0	84.8	90.5	5.9	58	321	3.3	91.6	0.2	8.4
1	11.5	1.7	2.3	1.0	80.2	88.8	5.4	62	327	3.0	91.8	0.4	7.6
3	13.1	1.5	2.3	1.3	84.5	89.8	5.7	58	339	3.7	89.2	0.4	8.4
3	12.9	1.7	2.1	1.0	82.6	90.9	5.6	62	348	3.3	91.7	0.3	8.0
1	13.0	1.5	2.1	1.2	85.0	91.3	6.0	62	306	3.6	89.2	0.6	8.3
1	13.0	1.7	2.3	1.4	80.4	87.7	5.5	59	300	3.3	91.4	0.2	7.8
3	11.6	1.6	2.2	1.0	82.8	91.2	5.6	58	331	3.7	93.0	0.3	8.3
2	12.2	1.9	2.2	1.4	84.8	89.2	6.0	56	312	3.2	91.2	0.4	8.3
3	11.7	1.5	2.3	1.1	82.6	88.2	5.9	57	329	3.8	90.9	0.4	7.7
3	13.2	1.6	2.3	1.1	83.1	89.1	5.9	57	322	3.6	90.3	0.5	7.6
3	12.7	1.5	2.0	1.3	83.5	91.4	5.6	58	318	3.1	89.5	0.4	8.4
3	12.2	1.9	2.0	1.3	82.3	89.2	5.5	58	331	3.5	91.9	0.6	8.5
1	11.6	1.8	1.9	1.4	83.1	88.5	5.8	64	329	3.8	89.8	0.3	7.5
3	12.1	1.5	2.1	1.4	82.9	89.9	6.0	59	328	3.4	89.5	0.6	8.2
2	12.2	1.7	1.8	1.4	84.5	88.1	5.7	58	348	3.1	90.7	0.5	8.4
1	13.0	1.8	2.1	1.1	80.2	87.3	5.7	64	344	3.4	92.2	0.2	8.4
2	12.8	1.7	2.1	1.1	81.4	87.6	5.6	62	328	3.4	92.0	0.3	8.5
2	13.3	1.7	2.0	1.4	84.8	87.6	5.9	60	329	3.6	89.2	0.5	8.3
2	12.4	1.5	2.2	1.4	84.5	87.7	5.5	60	315	3.6	90.8	0.5	7.9
2	11.7	1.4	1.8	1.5	82.3	87.6	5.6	62	339	3.3	91.1	0.6	7.8
1	12.9	1.8	1.8	1.2	83.1	89.9	5.7	61	318	3.2	91.6	0.3	7.8
1	13.0	1.9	2.3	1.2	81.4	87.8	5.7	64	317	3.5	91.6	0.6	8.2
2	12.6	1.7	2.0	1.4	80.9	88.6	5.5	64	300	3.3	90.5	0.4	8.2
2	13.0	1.6	1.9	1.2	82.3	91.0	5.5	62	313	3.1	91.2	0.2	7.7
1	12.5	1.6	2.1	1.5	81.8	89.1	5.8	56	346	3.7	90.9	0.6	8.4
1	12.5	1.8	2.3	1.4	82.9	90.0	5.6	63	349	3.6	92.5	0.2	8.2
1	12.4	1.8	1.9	1.2	80.4	87.8	5.7	55	301	3.5	91.1	0.2	8.1
3	11.6	1.8	2.2	1.4	84.9	87.9	5.5	62	327	3.7	90.8	0.6	8.0
3	11.7	1.8	1.9	1.4	84.9	87.2	5.7	58	348	3.4	90.6	0.2	8.0
3	11.6	1.7	1.8	1.1	83.5	87.8	5.7	58	349	3.7	91.3	0.4	7.7
2	12.8	1.4	2.1	1.5	82.7	88.3	5.4	59	329	3.4	92.2	0.2	7.7
3	12.1	1.5	2.1	1.3	81.5	87.8	5.6	62	337	3.1	91.2	0.4	7.6
2	12.5	1.8	2.2	1.4	84.1	87.4	5.5	59	303	3.3	91.6	0.3	7.7
2	13.3	1.7	2.2	1.2	83.4	87.5	5.4	62	300	3.4	92.0	0.4	8.0
3	12.0	1.4	2.4	1.4	80.8	89.1	6.0	64	307	3.6	91.1	0.3	8.0
2	12.3	1.5	2.1	1.2	84.6	87.9	5.6	55	328	3.1	90.7	0.3	7.5
3	13.0	1.7	2.0	1.0	84.1	88.6	5.9	64	338	3.1	92.5	0.4	8.3
